number,Questions,Answers,Texts,Score
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,coding debugging program usually easier either compiler specify working incorrectly function assigned easier identify code also look organized easier read help avoid redundant coding post maintenance also easier also module reused several time program without much hassle abstraction art breaking one big problem smaller simpler problem solving many smaller problem shared unique complex problem creating module solve smaller repeated problem save time encounter,5.0
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,variable remain private code easily modified reusable well easily implemented mention easier read follow along observer,4.5
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,data abstraction control possible isolate element element lot easier prevent tampering data,3.5
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,encapsulation object use operation without knowing operation work inheritance cut redundancy reusing earlier class polymorphism object select correct operation use situation,4.0
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,make easier reuse adapt previously written code separate complex program smaller easier understand class,4.5
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,existing class reused program maintenance verification easier,3.5
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,existing class fused program maintenance verification easier,3.5
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,data abstraction easier maintenance usability,5.0
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,existing class reused program maintenance verification easy,4.0
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,1 existing class reused 2 program maintenance verification easier,3.5
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,information hidden easier debug easier manageable,3.5
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,existing class reused program maintenance verification easier,3.5
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,existing class reused program maintenance verification easier,3.5
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,well one encapsulation value variable inside private unless method written pas info outside well inheritance subclass inherits variable method super class example book included obj clock obj alarm would still use clock first class,3.5
1.4,Where do C plus plus programs begin to execute?,main function,function int main,5.0
1.4,Where do C plus plus programs begin to execute?,main function,function main,5.0
1.4,Where do C plus plus programs begin to execute?,main function,c main method,5.0
1.4,Where do C plus plus programs begin to execute?,main function,c program main function,5.0
1.4,Where do C plus plus programs begin to execute?,main function,main function,5.0
1.4,Where do C plus plus programs begin to execute?,main function,int main,5.0
1.4,Where do C plus plus programs begin to execute?,main function,main method,5.0
1.4,Where do C plus plus programs begin to execute?,main function,testing phase,0.0
1.4,Where do C plus plus programs begin to execute?,main function,main function,5.0
1.4,Where do C plus plus programs begin to execute?,main function,main,5.0
1.4,Where do C plus plus programs begin to execute?,main function,function main,5.0
1.4,Where do C plus plus programs begin to execute?,main function,main method,5.0
1.4,Where do C plus plus programs begin to execute?,main function,root,2.5
1.4,Where do C plus plus programs begin to execute?,main function,main function,5.0
1.4,Where do C plus plus programs begin to execute?,main function,c execution main,5.0
1.4,Where do C plus plus programs begin to execute?,main function,main function,5.0
1.4,Where do C plus plus programs begin to execute?,main function,main function,5.0
1.4,Where do C plus plus programs begin to execute?,main function,main function,5.0
1.4,Where do C plus plus programs begin to execute?,main function,function main,5.0
1.4,Where do C plus plus programs begin to execute?,main function,loading required include statement library main method begin execution,5.0
1.4,Where do C plus plus programs begin to execute?,main function,main function,5.0
1.4,Where do C plus plus programs begin to execute?,main function,main,5.0
1.4,Where do C plus plus programs begin to execute?,main function,c execution main function,5.0
1.4,Where do C plus plus programs begin to execute?,main function,main,5.0
1.4,Where do C plus plus programs begin to execute?,main function,beging execute main,5.0
1.4,Where do C plus plus programs begin to execute?,main function,main function int main,5.0
1.4,Where do C plus plus programs begin to execute?,main function,c execution main function,5.0
1.4,Where do C plus plus programs begin to execute?,main function,main function,5.0
1.4,Where do C plus plus programs begin to execute?,main function,within main function,5.0
1.5,What is a variable?,location memory store value,integer string program,2.0
1.5,What is a variable?,location memory store value,programming structure hold data uniquely named programmer hold data assigned new value assigned program finished,4.5
1.5,What is a variable?,location memory store value,location memory value stored,5.0
1.5,What is a variable?,location memory store value,location computer memory value stored later retrieve value,5.0
1.5,What is a variable?,location memory store value,location computer memory value stored use program name value type size,5.0
1.5,What is a variable?,location memory store value,named object hold numerical letter value,3.5
1.5,What is a variable?,location memory store value,symbol name value number example used number stand given number programmer refer number using name,4.0
1.5,What is a variable?,location memory store value,location computer memory value stored use program,5.0
1.5,What is a variable?,location memory store value,identifier hold location memory,4.0
1.5,What is a variable?,location memory store value,block memory hold specific type data,5.0
1.5,What is a variable?,location memory store value,location computer memory stored use program,5.0
1.5,What is a variable?,location memory store value,location memory value stored,5.0
1.5,What is a variable?,location memory store value,value word assume set value,3.0
1.5,What is a variable?,location memory store value,pointer location memory,4.0
1.5,What is a variable?,location memory store value,memory address specific type stored data mathematical perspective symbol representing fixed definition changing value,5.0
1.5,What is a variable?,location memory store value,value subject change computer memory used program program change value recall later act directly,5.0
1.5,What is a variable?,location memory store value,symbol stand value may may change depending program,4.0
1.5,What is a variable?,location memory store value,placeholder hold information used program example int hold 1 2 3 4 68 72 256 etc float hold 1 54 55 55 1 24 5 657 8 8123 et char hold b c e f 4 5 6 p etc,4.5
1.5,What is a variable?,location memory store value,stored value used program,4.5
1.5,What is a variable?,location memory store value,way store different value program number word letter etc,4.5
1.5,What is a variable?,location memory store value,object location memory value stored,3.5
1.5,What is a variable?,location memory store value,location memory value stored,5.0
1.5,What is a variable?,location memory store value,object data stored,3.5
1.5,What is a variable?,location memory store value,location memory value stored,5.0
1.5,What is a variable?,location memory store value,location memory value stored,5.0
1.5,What is a variable?,location memory store value,location computer memory value stored use program,5.0
1.5,What is a variable?,location memory store value,location computer memory value stored use program,5.0
1.5,What is a variable?,location memory store value,location memory data stored retrieved,5.0
1.5,What is a variable?,location memory store value,method identifier would say use bind data object memory location stored location accessed manipulated later name called,5.0
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,right used good practice declare beginning label food,2.0
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,function main using variable,3.0
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,local inside method function used beginning method global outside function method generally function defined,5.0
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,ever defined either inside block locally outside block globally,4.5
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,actually used main use globally,4.0
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,good programing practice main least used,2.5
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,globally main method also outside subject method scoped within would still beginning method inside,5.0
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,local inside method global body,5.0
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,main function,2.0
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,globally entire locally individual function including statement,4.5
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,usually beginning used always contain name data type,3.0
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,inside method,2.5
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,top,1.5
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,global body code local function used unless function passed variable always use,5.0
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,usually beginning module c code,2.5
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,main function usually top code almost anywhere must code use act upon,3.5
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,beginning main start,2.0
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,declaration function statement statement body statement namespaces header etc almost anywhere anywhere long line,2.5
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,declaration variable data type,1.0
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,anywhere code top middle code anywhere,3.0
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,used,2.0
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,anywhere scope used,3.5
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,class method,2.5
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,inside function scope outside function scope case global,5.0
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,global main function local function,4.0
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,usually beginning c long appear called upon,4.0
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,main function operation attempted,2.0
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,anywhere declare depends want accessible scope,4.5
1.6,Where are variables declared in a C plus plus program?,variable declared anywhere program declared inside function local variable outside function global variable,depends global side source code used every scope however local variable one local function etc obviously need outside variable seeing used function block called,4.5
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,first evaluates condition executes line code 0 time executes line code evaluates condition,4.5
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,statement evaluate whether loop running block contained within least difference statement possibility never used statement hand always run least evaluating whether run,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,loop loop always cycle loop least loop always,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,loop used execute block code long condition true loop used execute block code long condition satisfied loop test condition execution content loop test condition execution content least,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,termination condition usually end loop run least condition false begin loop never run,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,loop check make sure true executing loop execute checking see run,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,test condition loop first chance loop never run loop always run test determine run,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,loop always executes loop conditional true run,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,condition checked validity repeated condition false code performed least checked valid condition continue,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,statement evaluate executing cycle loop including first cycle meaning loop always execute run evaluate running cycle loop ensuring loop always executes least one time,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,statement block always executed atleast execute condition true,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,loop always executes,4.5
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,process met always process continue met,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,run embedded code least command necessarily,4.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,test true first running run first checking,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,body always executes least execute unless condition true,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,statement within block loop always executed least regardless condition whereas loop may never executed condition met,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,loop always run loop performs test running loop,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,test condition start loop condition tested,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,loop terminates beginning loop terminates end loop,3.5
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,loop body always executes least,3.5
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,loop evaluates expression top loop decides need execute always executes least evaluates expression bottom loop,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,always execute piece code least checking condition always check condition first,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,pass atleast 1 time checking condition however would fail enter loop condition fails first place,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,loop check condition true first true execute loop executes check condition condition true would execute loop would execute atleast,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,answer,0.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,loop always execute atleast loop may never execute depending teh condition,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,loop pre check check condition executes code within block loop post check check condition block executes run least matter condition,5.0
1.7,What is the main difference between a while and a do ... while statement?,block inside statement execute least,construct consists block code condition first code within block executed condition evaluated done proven false loop test condition code within block executed,5.0
2.1,What is typically included in a class definition?,data member attribute member function,u usually set get display mess ge message tell property reveal implementation could anything want,2.0
2.1,What is typically included in a class definition?,data member attribute member function,attribute said also whether subclass also whether public private protected,4.0
2.1,What is typically included in a class definition?,data member attribute member function,information telling compiler data member member function belong,5.0
2.1,What is typically included in a class definition?,data member attribute member function,since user defined body declaration contain member either data function declaration optionally access specifier example specifier would public private protected keyword body enclosed bracket,5.0
2.1,What is typically included in a class definition?,data member attribute member function,object data,2.0
2.1,What is typically included in a class definition?,data member attribute member function,specific name includes information defined implementation detail etc,3.0
2.1,What is typically included in a class definition?,data member attribute member function,data member member function,5.0
2.1,What is typically included in a class definition?,data member attribute member function,usually contains function data member,5.0
2.1,What is typically included in a class definition?,data member attribute member function,data member member function,5.0
2.1,What is typically included in a class definition?,data member attribute member function,member function,3.5
2.1,What is typically included in a class definition?,data member attribute member function,member function data member belonging,5.0
2.1,What is typically included in a class definition?,data member attribute member function,public private area includes function variable used,4.5
2.1,What is typically included in a class definition?,data member attribute member function,keyword followed name inside declare public private declaration,3.5
2.1,What is typically included in a class definition?,data member attribute member function,includes function definition,3.0
2.1,What is typically included in a class definition?,data member attribute member function,begin followed name usually constructor data member member function delineates,5.0
2.1,What is typically included in a class definition?,data member attribute member function,data method,4.5
2.1,What is typically included in a class definition?,data member attribute member function,constructor function variable accessible possibly class depending done,4.5
2.1,What is typically included in a class definition?,data member attribute member function,member function data member,5.0
2.1,What is typically included in a class definition?,data member attribute member function,public section private section must semicolon set end,2.5
2.1,What is typically included in a class definition?,data member attribute member function,member function data member,5.0
2.1,What is typically included in a class definition?,data member attribute member function,data member member function,5.0
2.1,What is typically included in a class definition?,data member attribute member function,data member member function,5.0
2.1,What is typically included in a class definition?,data member attribute member function,name public data type constructor method function,3.5
2.1,What is typically included in a class definition?,data member attribute member function,constructor several data member least one public data member method,4.5
2.1,What is typically included in a class definition?,data member attribute member function,name two curly parenthesis public private,2.0
2.1,What is typically included in a class definition?,data member attribute member function,data member member function,5.0
2.1,What is typically included in a class definition?,data member attribute member function,data function,4.5
2.1,What is typically included in a class definition?,data member attribute member function,function data member belong,5.0
2.1,What is typically included in a class definition?,data member attribute member function,variable function definition,5.0
2.1,What is typically included in a class definition?,data member attribute member function,expanded concept data structure hold data function executed,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,data member accessed member function inside class defintion local variable accessed inside member function defines,member component particular class functioning component class,3.0
2.2,What is the difference between a data member and a local variable inside a member function?,data member accessed member function inside class defintion local variable accessed inside member function defines,field declared class variable declared method,2.5
2.2,What is the difference between a data member and a local variable inside a member function?,data member accessed member function inside class defintion local variable accessed inside member function defines,member declared class outside function unlike variable object class keep copy member stored memory,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,data member accessed member function inside class defintion local variable accessed inside member function defines,variable represent attribute class definition variable declared body cannot used outside body terminates value variable lost,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,data member accessed member function inside class defintion local variable accessed inside member function defines,cannot accessed outside declared member normally private variable function declared private accessible function class declared,5.0
2.2,What is the difference between a data member and a local variable inside a member function?,data member accessed member function inside class defintion local variable accessed inside member function defines,part c class structure store certain type available used derive desired outcome,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,data member accessed member function inside class defintion local variable accessed inside member function defines,accessed within scope declaration,3.5
2.2,What is the difference between a data member and a local variable inside a member function?,data member accessed member function inside class defintion local variable accessed inside member function defines,member attribute used outside used outside value lost terminates,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,data member accessed member function inside class defintion local variable accessed inside member function defines,member permanent attribute class variable lost scope end,4.0
2.2,What is the difference between a data member and a local variable inside a member function?,data member accessed member function inside class defintion local variable accessed inside member function defines,member declared class definition outside body class definition variable declared definition body,4.0
2.2,What is the difference between a data member and a local variable inside a member function?,data member accessed member function inside class defintion local variable accessed inside member function defines,globally accessible accessible,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,data member accessed member function inside class defintion local variable accessed inside member function defines,accessed accessed throughout program,5.0
2.2,What is the difference between a data member and a local variable inside a member function?,data member accessed member function inside class defintion local variable accessed inside member function defines,variable used within scope declaration,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,data member accessed member function inside class defintion local variable accessed inside member function defines,general term describing object instantiated within variable refers scope may located anything control structure class variable whose scope member function,2.0
